No.,Meaning,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
30,blood,bloed,gjak,արյուն,রক্ত,krv,кръв,sang,krv,krev,blod,bloed,blood,sang,sangue,Blut,αίμα,લોહી,रक्त,blóð,fola,sangue,asins,kraujas,крв,रक्त,रगत,blod,وینه,خون,krew,sangue,sânge,кровь,крв,ලේ,krv,kri,sangre,blod,кров,خون,gwaed
31,bone,been,kockë,ոսկոր,হাড়,kost,костен,os,kost,kost,knogle,bot,bone,os,óso,Knochen,οστό,અસ્થિ,हड्डी,bein,cnámh,osso,kauls,kaulas,коска,हाड,हड्डी,bein,هډوکي,استخوان,kość,osso,os,кость,кост,අස්ථිය,kosť,kost,hueso,ben,кістка,ہڈی,asgwrn
32,grease,vet,dhjamë,ճարպ,গ্রীস,mast,мазнините,greix,mast,tuk,fedt,vet,grease,graisse,grasa,Fett,γράσο,ચરબી,ग्रीस,feiti,ramhar,grasso,tauki,riebus,маст,चरबी,ग्रीस,fett,غوړي,گریس,tłuszcz,gordura,grăsime,жир,маст,තෙල්,tuk,mast,grasa,fett,жир,چربی,saim
33,egg,eier,vezë,ձու,ডিম,jaje,яйце,ou,jaje,vejce,æg,ei,egg,œuf,ovo,Ei,αυγό,ઇંડા,अंडा,egg,ubh,uovo,ola,kiaušinis,јајце,अंडी,अण्डा,egg,هګۍ,تخم مرغ,jajko,ovo,ou,яйцо,јаје,බිත්තරය,vajce,jajce,huevo,ägg,яйце,انڈہ,wy
34,horn,horing,bri,եղջյուր,শিং,rog,рог,banya,rog,roh,horn,hoorn,horn,klaxon,esquina,Horn,κέρατο,શિંગડું,सींग,horn,adharc,corno,rags,ragas,рог,शिंग,सींग,horn,ښکر,شاخ,klakson,chifre,corn,рог,рог,අඟ,klaksón,rog,cuerno,horn,ріг,سینگ,corn
35,tail,stert,bisht,պոչ,লেজ,rep,опашка,cua,rep,ocas,hale,staart,tail,queue,rabo,Schwanz,ουρά,પૂંછડી,पूंछ,hali,eireaball,coda,aste,uodega,опашка,शेपूट,पुच्छर,hale,لکۍ,دم,ogon,cauda,coadă,хвост,реп,වලිගය,chvost,rep,cola,svans,хвіст,دم,cynffon
36,feather,veer,pendë,փետուր,পালক,pero,перо,ploma,pero,pero,fjer,veerkracht,feather,plume,pluma,Feder,φτερό,પીછા,पंख,fjöður,cleite,penna,spalva,plunksna,пердув,पंख,पखेटा,fjær,بڼکه,پر,pióro,pena,pană,перо,перо,පිහාටු,pero,pero,pluma,fjäder,перо,پنکھ,pluen
37,hair (on head),hare,flokë,մազ,চুল,kosa,коса,pèl,kosa,vlasy,hår,haar,hair,cheveu,cabelo,Haar,μαλλιά,વાળ,बाल,hár,gruaig,capello,mati,plaukai,коса,केस,केश,hår,ویښتان,مو,włosy,cabelo,păr,волосы,коса,හිසකෙස්,vlas,las,cabello,hår,волосся,بال,gwallt
38,head,kop,kokë,գլուխ,মাথা,glava,глава,cap,glava,hlava,hoved,hoofd,head,tête,cabeza,Kopf,κεφάλι,વડા,सिर,höfuð,ceann,testa,galva,galva,главата,डोके,सिर,hode,سر,سر,głowa,cabeça,cap,голова,глава,හිස,hlava,glava,cabeza,huvud,голова,سر,copa
39,ear,oor,vesh,ականջ,কান,uho,ухо,orella,uho,ucho,øre,oor,ear,oreille,orella,Ohr,αυτί,કાન,कान,eyra,cluas,orecchio,auss,ausis,уво,कान,कान,øre,غوږ,گوش,ucho,orelha,ureche,ухо,ухо,කන,ucho,uho,oreja,öra,вухо,کان,clust
40,eye,oog,sy,աչք,চোখ,oko,око,ull,oko,oko,øje,oog,eye,œil,ollo,Auge,μάτι,આંખ,आंख,auga,súil,occhio,acs,akis,окото,डोळा,आँखा,øye,سترګه,چشم,oko,olho,ochi,глаз,око,ඇස,oko,oko,ojo,öga,око,آنکھ,llygad
41,nose,neus,hundë,քիթ,নাক,nos,нос,nas,nos,nos,næse,neus,nose,nez,nariz,Nase,μύτη,નાક,नाक,nef,srón,naso,deguns,nosies,носот,नाक,नाक,nese,پوزه,بینی,nos,nariz,nas,нос,нос,නාසය,nos,nos,nariz,näsa,ніс,ناک,trwyn
42,mouth,mond,gojë,բերան,মুখ,usta,устата,boca,usta,ústa,mund,mond,mouth,bouche,boca,Mund,στόμα,મોં,मुँह,munnur,béal,bocca,mute,burna,устата,तोंड,मुख,munn,خوله,دهان,usta,boca,gură,рот,уста,කට,ústa,usta,boca,mun,рот,منہ,ceg
43,tooth,tand,dhëmb,ատամ,দাঁত,zub,зъб,dent,zub,zub,tand,tand,tooth,dent,dente,Zahn,δόντι,દાંત,दाँत,tönn,fiacail,dente,zobs,dantis,заб,दात,दाँत,tann,غاښ,دندان,ząb,dente,dinte,зуб,зуб,දත,zub,zob,diente,tand,зуб,دانت,dant
44,tongue,tong,gjuhë,լեզու,জিহ্বা,jezik,език,llengua,jezik,jazyk,tunge,tong,tongue,langue,lingua,Zunge,γλώσσα,જીભ,जीभ,tunga,teanga,lingua,mēle,liežuvis,јазикот,जीभ,जिब्रो,tunge,ژبه,زبان,język,língua,limbă,язык,језик,දිව,jazyk,jezik,lengua,tunga,язик,زبان,tafod
45,claw,klou,kthetër,ճանկ,নখর,kandža,нокът,urpa,pandža,dráp,klo,klauw,claw,griffe,garra,Klaue,δαγκάνα,પંજો,पंजा,kló,crúb,artiglio,nags,letena,канџи,पंजा,पञ्जा,klo,پنجه,پنجه,pazur,garra,gheară,коготь,канџа,නියපොත්ත,pazúr,krempelj,garra,klo,кіготь,پنجہ,crafanc
46,foot,voet,këmbë,ոտնաթաթ,ফুট,stopalo,крак,peu,noga,noha,fod,voet,foot,pied,pé,Fuß,πόδι,પગ,पैर,fótur,cos,piede,pēda,pėda,стапало,पाऊल,खुट्टा,fot,پښه,پا,stopa,pé,picior,стопа,стопа,පය,chodidlo,stopalo,pie,fot,стопа,پاؤں,troed
47,knee,knie,gju,ծունկ,হাঁটু,koljeno,коляно,genoll,koljeno,koleno,knæ,knie,knee,genou,xeonllo,Knie,γόνατο,ઘૂંટણ,घुटना,hné,glúin,ginocchio,celis,kelis,коленото,गुडघा,घुँडा,kne,زنګون,زانو,kolano,joelho,genunchi,колено,колено,දණහිස,koleno,koleno,rodilla,knä,коліно,گھٹنے,glin
48,hand,hand,dorë,ձեռք,হাত,ruka,ръка,mà,ruka,ruka,hånd,hand,hand,main,man,Hand,χέρι,હાથ,हाथ,hönd,lámh,mano,roka,ranka,рака,हात,हात,hånd,لاس,دست,ręka,mão,mână,рука,рука,අත,ruka,roka,mano,hand,рука,ہاتھ,llaw
49,belly,maag,bark,փոր,পেট,trbuh,корем,ventre,trbuh,břicho,mave,buik,belly,ventre,barriga,Bauch,κοιλιά,પેટ,पेट,magi,bolg,pancia,vēders,pilvas,стомак,पोट,पेट,mage,خیټه,شکم,brzuch,barriga,burtă,живот,стомак,බඩ,brucho,trebuh,vientre,mage,живіт,پیٹ,bol
50,neck,nek,qafë,վիզ,ঘাড়,vrat,врата,coll,vrat,krk,nakke,nek,neck,cou,pescozo,Nacken,λαιμός,ગરદન,गरदन,háls,muineál,collo,kakls,kaklas,вратот,मान,गर्दन,nakke,غاړه,گردن,szyja,pescoço,gât,шея,врат,බෙල්ල,krk,vrat,cuello,nacke,шия,گردن,gwddf
51,breast,bors,gji,կուրծք,স্তন,grudi,гърдата,pit,grudi,prs,bryst,borst,breast,sein,peito,Brust,στήθος,છાતી,स्तन,brjóst,cíoch,seno,krūts,krūtinė,гради,स्तन,स्तन,bryst,سینه,پستان,pierś,seio,sanului,грудь,дојке,පියයුරු,prsník,prsi,seno,bröst,груди,چھاتی,fron
52,heart,hart,zemër,սիրտ,হৃদয়,srce,сърце,cor,srce,srdce,hjerte,hart,heart,cœur,corazón,Herz,καρδιά,હૃદય,हृदय,hjarta,croí,cuore,sirds,širdis,срцето,हृदय,मुटु,hjerte,زړه,قلب,serca,coração,inima,сердце,срце,හෘදය,srdce,srce,corazón,hjärta,серце,دل,calon
53,liver,lewer,mëlçi,լյարդ,যকৃত,jetra,черен дроб,fetge,jetra,játra,lever,lever,liver,foie,fígado,Leber,συκώτι,યકૃત,जिगर,lifur,ae,fegato,aknas,kepenys,црниот дроб,यकृत,कलेजो,lever,ځيګر,کبد,wątroba,fígado,ficat,печень,јетра,අක්මාව,pečeň,jetra,hígado,lever,печінка,جگر,iau
54,drink,drink,pi,խմել,পান করা,piti,пия,beure,piti,pít,drikke,drankje,drink,boire,beber,trinken,ποτό,પીવું,पीना,drykkur,deoch,bere,dzert,gerti,пијат,पेय,पिउनु,drikke,څښاک,نوشیدن,pić,beber,a băutură,пить,пити,බොනවා,piť,piti,beber,dricka,пити,پینا,yfed
55,eat,eet,ha,ուտել,খাওয়া,jesti,яжте,menjar,jesti,jíst,spise,eten,eat,manger,comer,essen,τρώω,ખાવું,खाना,borða,ith,mangiare,ēst,valgyti,јадете,खाणे,खानु,spise,خوړل,خوردن,jeść,comer,a mânca,кушать,јести,කනවා,jesť,jesti,comer,äta,їсти,کهانا,bwyta
56,bite,byt,kafshoj,կծել,কামড়,ugristi,хапя,mossegar,gristi,kousat,bide,bijten,bite,mordre,morder,beissen,δάγκωμα,ડંખ,काटना,bíta,prioc,mordere,kost,kąsti,залак,चावणे,तोक्नु,bite,چیچل,گاز گرفتن,ugryzienie,moder,a mușcă,кусать,уједати,දෂ්ට කරනවා,uhryznúť,gristi,morder,bita,кусати,کاٹنا,brathu
57,see,sien,shoh,տեսնել,দেখা,vidjeti,виж,veure,vidjeti,vidět,se,zien,see,voir,ver,sehen,βλέπω,જુઓ,देखना,sjá,feic,vedere,redzēt,pamatyti,види,पहा,हेर्नु,se,لیدل,دیدن,zobaczyć,ver,a vedea,видеть,видети,බලනවා,vidieť,videti,ver,ser,побачити,دیکھنا,gweld
58,hear,hoor,dëgjoj,լսել,শোনা,čuti,чувам,escoltar,čuti,slyšet,høre,horen,hear,écouter,escoitar,hören,ακούω,સાંભળો,सुनना,heyra,clois ,ascoltare,dzirdēt,girdėti,слушаат,ऐकणे,सुन्नु,høre,اوریدل,شنیدن,słyszeć,ouvir,a auzi,слышать,чути,අහනවා,počuť,slišati,escuchar,höra,почути,سننا,clywed
59,know,weet,di,իմանալ,জানা,znati,зная,saber,znati,vědět,ved godt,weten,know,connaître,saber,wissen,ξέρω,ખબર,जानना,vita,fios,sapere,zināt,žinoti,знае,माहित आहे,थाहा हुनु,vet,پوهیدل,دانستن,wiedzieć,conhecer,a știu,знать,знати,දන්නවා,vedieť,vedeti,saber,känna till,знати,جاننا,medru
60,sleep,slaap,fle,քնել,ঘুম,spavati,сън,dormir,spavati,spát,sove,slapen,sleep,dormir,durmir,schlafen,ύπνος,ઊંઘ,सोना,sofa,codail,dormire,gulēt,miegoti,спиење,झोप,सुत्नु,sove,خوب,خوابیدن,spać,dormir,a dormi,спать,спавати,නිදාගන්නවා,spať,spati,dormir,sova,спати,سونا,cysgu
61,die,sterf,vdes,մահանալ,মারা,umrijeti,умират,morir,umrijeti,zemřít,dø,sterven,die,mourir,morrer,sterben,πεθαίνω,મૃત્યુ,मरना,deyja,bás,morire,mirt,mirti,умре,मरणे,मर्नु,dø,مړه کیدل,مردن,umierać,morrer,a muri,умереть,умрети,මැරෙනවා,zomrieť,umreti,morir,dö,померти,مرنا,marw
62,kill,dood,vras,սպանել,হত্যা,ubiti,убиват,matar,ubiti,zabít,dræbe,doden,kill,tuer,matar,töten,σκοτώνω,મારવા,मारना,drepa,maraigh,uccidere,nogalināt,nužudyti,убие,मारणे,मार्नु,drepe,وژل,کشتن,zabić,matar,a ucide,убить,убити,මරනවා,zabiť,ubiti,matar,döda,вбити,قتل,lladd
63,swim,swem,notoj,լողալ,সাঁতার কাটা,plivati,плувам,nedar,plivati,plavat,svømme,zwemmen,swim,nager,nadar,schwimmen,κολυμπάω,તરવું,तैरना,synda,snámh,nuotare,peldēt,plaukti,пливаат,पोहणे,पौडनु,svømme,لامبو,شنا کردن,pływać,nadar,a înot,плавать,пливати,පීනනවා,plávať,plavati,nadar,simma,плавати,تیرنا,nofio
64,fly,vlieg,fluturoj,թռչել,উড়া,letjeti,летя,volar,letjeti,létat,flyve,vliegen,fly,voler,voar,fliegen,πετώ,ઉડી,उड़ना,fljúga,eitil,volare,lidot,skristi,летаат,उडणे,उड्नु,fly,الوتل,پرواز کردن,latać,voar,a zbura,летать,лети,පියාසර කරනවා,letieť,leteti,volar,flyga,літати,اڑنا,ehedeg
65,walk,loop,eci,քայլել,হাঁটা,hodati,разходка,caminar,hodati,jít,gå,lopen,walk,marcher,andar,gehen,περπατάω,ચાલવું,पैदल चलना,ganga,siúl,camminare,staigāt,vaikščioti,прошетка,चालणे,हिँड्नु,gå,قدم وهل,راه رفتن,spacerować,caminhar,a merge,ходить,ходати,ඇවිදිනවා,ísť,sprehajati,andar,promenera,ходити,چلنا,cerdded
66,come,kom,vij,գալ,আসা,doći,идвам,vinir,doći,přijít,komme,komen,come,venir,vir,kommen,έρχομαι,આવો,आना,koma,tar,venire,nākt,ateiti,дојди,येणे,आउनु,komme,راځه,آمدن,chodzić,vir,a vine,приходить,доћи,එනවා,prísť,priti,venir,komma,прийти,آنا,dod
67,lie (lie down),lê,shtrihem,պառկել,শোয়া,laž,лежа,estirar-se,lagati,ležet,ligge,liggen,lie,s'allonger,deitarse,liegen,ξαπλώνω,સૂવું,लेटना,leggja,luigh,sdraiarsi,gulēt,gulėti,лежи,पहुडणे,तेर्सिनु,ligge,دروغ,دراز کشیدن,połóż się,deitar-se,zăcea,лежать,лећи,වැතිරෙන්න,ležať,ležati,yacer,ligga,лежати,پڑنا,gorwedd
68,sit,sit,ulem,նստել,বসা,sjediti,седнете,seure,sjediti,sedět,sidde,zitten,sit,s'asseoir,sentar,sitzen,κάθομαι,બેસવું,बैठना,sitja,suí,sedersi,sēdēt,sėdėti,седи,बसणे,बस्नु,sitte,ناست,نشستن,siedzieć,sentar,a sta,сидеть,седети,වාඩි වෙනවා,sedieť,sedeti,sentar,sitta,сидіти,بیٹھنا,eistedd
69,stand,staan,qendroj,կանգնել,দাঁড়ানো,stajati,стойка,parar,stajati,stát,stå,staan,stand,se tenir debout,estar de pé,stehen,στέκομαι,ઊભું,खड़ा होना,standa,seas,alzarsi,stāvēt,stovėti,стојат,उभे,उठ्नु,stå,ولاړ,ایستادن,stać,ficar de pé,a stand,стоять,стајати,නැගී සිටිනවා,stáť,stati,ponerse de pie,stå,стояти,کھڑا ہونا,sefyll
70,give,gee,jap,տալ,দেওয়া,dati,дай,donar,dati,dát,give,geven,give,donner,dar,geben,δίνω,આપો,देना,gefa,tabhair,dare,dot,duoti,даде,देणे,दिनु,gi,ورکول,دادن,dawać,dar,a da,давать,дати,දෙනවා,dať,dati,dar,ge,дати,دینا,rhoi
71,say,sê,them,ասել,বলা,reći,казвам,dir,reći,říct,sige,zeggen,say,dire,dicir,sagen,λέω,કહો,कहना,segja,abair,dire,runāt,pasakyti,рече,म्हणा,भन्नु,si,ووایه,گفتن,mowić,dizer,a spune,говорить,рећи,කියනවා,povedať,reči,decir,säga,казати,کہنا,dweud
72,sun,son,diell,արև,সূর্য,sunce,слънце,sol,sunce,slunce,sol,zon,sun,soleil,sol,Sonne,ήλιος,સૂર્ય,सूर्य,sól,grian,sole,saule,saulė,сонце,सूर्य,सूर्य,sol,لمر,آفتاب,słońce,sol,soare,солнце,сунце,හිරු,slnko,sonce,sol,sol,сонце,سورج,haul
73,moon,maan,hënë,լուսին,চাঁদ,mjesec,луна,lluna,mjesec,měsíc,måne,maan,moon,lune,lúa,Mond,φεγγάρι,ચંદ્ર,चंद्रमा,tungl,gealach,luna,mēness,mėnulis,месечината,चंद्र,चन्द्रमा,måne,سپوږمۍ,ماه,księżyc,lua,lună,луна,месец,සඳ,mesiac,luna,luna,måne,місяць,چاند,lleuad
74,star,ster,yll,աստղ,তারকা,zvijezda,звезда,estrella,zvijezda,hvězda,stjerne,ster,star,étoile,estrela,Stern,αστέρι,તારો,सितारा,stjarna,réalta,stella,zvaigzne,žvaigždė,ѕвезда,तारा,तारा,stjerne,ستوری,ستاره,gwiazda,estrela,stea,звезда,звезда,තරුව,hviezda,zvezda,estrella,stjärna,зорі,ستارہ,seren
75,water,water,ujë,ջուր,জল,voda,вода,aigua,voda,voda,vand,water,water,eau,auga,Wasser,νερό,પાણી,पानी,vatn,uisce,acqua,ūdens,vandens,вода,पाणी,पानी,vann,اوبه,آب,woda,água,apă,вода,вода,ජලය,voda,voda,agua,vatten,вода,پانی,dwr
76,rain,reën,shi,անձրև,বৃষ্টি,kiša,дъжд,pluja,kiša,déšť,regn,regen,rain,pluie,choiva,Regen,βροχή,વરસાદ,वर्षा,rigning,báisteach,pioggia,lietus,lietus,дожд,पाऊस,वर्षा,regn,باران,باران,deszcz,chuva,ploaie,дождь,киша,වැස්ස,dážď,dež,lluvia,regn,дощ,بارش,glaw
77,stone,klip,gur,քար,পাথর,kamen,камък,pedra,kamen,kámen,sten,steen,stone,pierre,pedra,Stein,πέτρα,પથ્થર,पथरी,steinn,cloch,pietra,akmens,akmuo,камен,दगड,पत्थर,stein,ډبره,سنگ,kamień,pedra,piatră,камень,камен,ගල,kameň,kamen,roca,sten,камінь,پتھر,carreg
78,sand,sand,rërë,ավազ,বালি,pijesak,пясък,sorra,pijesak,písek,sand,zand,sand,sable,area,Sand,άμμος,રેતી,रेत,sandur,gaineamh,sabbia,smiltis,smėlis,песок,वाळू,बालुवा,sand,شګه,شن,piasek,areia,nisip,песок,песак,වැලි,piesok,pesek,arena,sand,пісок,ریت,tywod
